TABLE 1.4  List of Australian Refined Diagnosis Related Groups Version 8.0

DRG	Partition	Description

MDC Pre Major Procedures with a principal diagnosis associated with any MDC
A01Z	S	Liver Transplant
A03Z	S	Lung or Heart-Lung Transplant
A05Z	S	Heart Transplant
A06A	S	Tracheostomy and/or Ventilation >=96hours, Major Complexity
A06B	S	Tracheostomy and/or Ventilation >=96hours, Intermediate Complexity
A06C	S	Tracheostomy and/or Ventilation >=96hours, Minor Complexity
A07A	S	Allogeneic Bone Marrow Transplant, Age <=16 Years or Major Complexity
A07B	S	Allogeneic Bone Marrow Transplant, Age >=17 Years and Minor Complexity
A08A	S	Autologous Bone Marrow Transplant, Major Complexity
A08B	S	Autologous Bone Marrow Transplant, Minor Complexity
A09A	S	Kidney Transplant, Age <=16 Years or Major Complexity
A09B	S	Kidney Transplant, Age >=17 Years and Minor Complexity
A10Z	S	Insertion of Ventricular Assist Device
A11A	S	Insertion of Implantable Spinal Infusion Device, Major Complexity
A11B	S	Insertion of Implantable Spinal Infusion Device, Minor Complexity
A12Z	S	Insertion of Neurostimulator Device
A40A	O	ECMO, Major Complexity
A40B	O	ECMO, Minor Complexity

MDC 01 Diseases and Disorders of the Nervous System		
B01A	S	Ventricular Shunt Revision, Major Complexity
B01B	S	Ventricular Shunt Revision, Minor Complexity
B02A	S	Cranial Procedures, Major Complexity
B02B	S	Cranial Procedures, Intermediate Complexity
B02C	S	Cranial Procedures, Minor Complexity
B03A	S	Spinal Procedures, Major Complexity
B03B	S	Spinal Procedures, Intermediate Complexity
B03C	S	Spinal Procedures, Minor Complexity
B04A	S	Extracranial Vascular Procedures, Major Complexity
B04B	S	Extracranial Vascular Procedures, Intermediate Complexity
B04C	S	Extracranial Vascular Procedures, Minor Complexity
B05Z	S	Carpal Tunnel Release
B06A	S	Procedures for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Major Comp
B06B	S	Procedures for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Interm Comp
B06C	S	Procedures for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Minor Comp
B07A	S	Cranial or Peripheral Nerve and Other Nervous System Procedures, Major Comp
B07B	S	Cranial or Peripheral Nerve and Other Nervous System Procedures, Minor Comp
B40Z	O	Plasmapheresis W Neurological Disease, Sameday
B41Z	O	Telemetric EEG Monitoring
B42A	O	Nervous System Disorders W Ventilator Support, Major Complexity
B42B	O	Nervous System Disorders W Ventilator Support, Minor Complexity
B60A	M	Acute Paraplegia and Quadriplegia W or W/O OR Procedures, Major Complexity
B60B	M	Acute Paraplegia and Quadriplegia W or W/O OR Procedures, Minor Complexity
B61A	M	Spinal Cord Conditions W or W/O OR Procedures, Major Complexity
B61B	M	Spinal Cord Conditions W or W/O OR Procedures, Minor Complexity
B62Z	M	Apheresis
B63A	M	Dementia and Other Chronic Disturbances of Cerebral Function, Major Complexity
B63B	M	Dementia and Other Chronic Disturbances of Cerebral Function, Minor Complexity
B64A	M	Delirium, Major Complexity
B64B	M	Delirium, Minor Complexity
B65A	M	Cerebral Palsy, Major Complexity
B65B	M	Cerebral Palsy, Minor Complexity
B66A	M	Nervous System Neoplasms, Major Complexity
B66B	M	Nervous System Neoplasms, Minor Complexity
B67A	M	Degenerative Nervous System Disorders, Major Complexity
B67B	M	Degenerative Nervous System Disorders, Intermediate Complexity
B67C	M	Degenerative Nervous System Disorders, Minor Complexity
B68A	M	Multiple Sclerosis and Cerebellar Ataxia, Major Complexity
B68B	M	Multiple Sclerosis and Cerebellar Ataxia, Minor Complexity
B69A	M	TIA and Precerebral Occlusion, Major Complexity
B69B	M	TIA and Precerebral Occlusion, Minor Complexity
B70A	M	Stroke and Other Cerebrovascular Disorders, Major Complexity
B70B	M	Stroke and Other Cerebrovascular Disorders, Intermediate Complexity
B70C	M	Stroke and Other Cerebrovascular Disorders, Minor Complexity
B70D	M	Stroke and Other Cerebrovascular Disorders, Transferred <5 Days
B71A	M	Cranial and Peripheral Nerve Disorders, Major Complexity
B71B	M	Cranial and Peripheral Nerve Disorders, Minor Complexity
B72A	M	Nervous System Infection Except Viral Meningitis, Major Complexity
B72B	M	Nervous System Infection Except Viral Meningitis, Minor Complexity
B73Z	M	Viral Meningitis
B74A	M	Nontraumatic Stupor and Coma, Major Complexity
B74B	M	Nontraumatic Stupor and Coma, Minor Complexity
B75Z	M	Febrile Convulsions
B76A	M	Seizures, Major Complexity
B76B	M	Seizures, Minor Complexity
B77A	M	Headaches, Major Complexity
B77B	M	Headaches, Minor Complexity
B78A	M	Intracranial Injuries, Major Complexity
B78B	M	Intracranial Injuries, Minor Complexity
B78C	M	Intracranial Injuries, Transferred <5 Days
B79A	M	Skull Fractures, Major Complexity
B79B	M	Skull Fractures, Minor Complexity
B80A	M	Other Head Injuries, Major Complexity
B80B	M	Other Head Injuries, Minor Complexity
B81A	M	Other Disorders of the Nervous System, Major Complexity
B81B	M	Other Disorders of the Nervous System, Minor Complexity
B82A	M	Chronic & Unspec Para/Quadriplegia W or W/O OR Proc, Major Complexity
B82B	M	Chronic & Unspec Para/Quadriplegia W or W/O OR Proc, Intermediate Complexity
B82C	M	Chronic & Unspec Para/Quadriplegia W or W/O OR Proc, Minor Complexity

MDC 02 Diseases and Disorders of the Eye		
C01A	S	Procedures for Penetrating Eye Injury, Major Complexity
C01B	S	Procedures for Penetrating Eye Injury, Minor Complexity
C02Z	S	Enucleations and Orbital Procedures
C03A	S	Retinal Procedures, Major Complexity
C03B	S	Retinal Procedures, Minor Complexity
C04A	S	Major Corneal, Scleral and Conjunctival Procedures, Major Complexity
C04B	S	Major Corneal, Scleral and Conjunctival Procedures, Minor Complexity
C05Z	S	Dacryocystorhinostomy
C10Z	S	Strabismus Procedures
C11Z	S	Eyelid Procedures
C12Z	S	Other Corneal, Scleral and Conjunctival Procedures
