id, alive, drg_code, description
"1", "1", "801A",  "OR Procedures Unrelated to Principal Diagnosis, Major Complexity"
"2", "1", "801B",  "OR Procedures Unrelated to Principal Diagnosis, Intermediate Complexity"
"3", "1", "801C  OR Procedures Unrelated to Principal Diagnosis", Minor Complexity"
"4", "1", "960Z",  "Ungroupable"
"5", "1", "961Z",  "Unacceptable Principal Diagnosis"
"6", "1", "963Z",  "Neonatal Diagnosis Not Consistent W Age/Weight"
"7", "1", "A01Z",  "Liver Transplant"
"8", "1", "A03Z",  "Lung or Heart-Lung Transplant"
"9", "1", "A05Z",  "Heart Transplant"
"10", "1", "A06A",  "Tracheostomy and/or Ventilation >=96hours, Major Complexity"
"11", "1", "A06B",  "Tracheostomy and/or Ventilation >=96hours, Intermediate Complexity"
"12", "1", "A06C",  "Tracheostomy and/or Ventilation >=96hours, Minor Complexity"
"13", "1", "A07A",  "Allogeneic Bone Marrow Transplant, Age <=16 Years or Major Complexity"
"14", "1", "A07B",  "Allogeneic Bone Marrow Transplant, Age >=17 Years and Minor Complexity"
"15", "1", "A08A",  "Autologous Bone Marrow Transplant, Major Complexity"
"16", "1", "A08B",  "Autologous Bone Marrow Transplant, Minor Complexity"
"17", "1", "A09A",  "Kidney Transplant, Age <=16 Years or Major Complexity"
"18", "1", "A09B",  "Kidney Transplant, Age >=17 Years and Minor Complexity"
"19", "1", "A10Z",  "Insertion of Ventricular Assist Device"
"20", "1", "A11A",  "Insertion of Implantable Spinal Infusion Device, Major Complexity"
"21", "1", "A11B",  "Insertion of Implantable Spinal Infusion Device, Minor Complexity"
"22", "1", "A12Z",  "Insertion of Neurostimulator Device"
"23", "1", "A40A",  "ECMO, Major Complexity"
"24", "1", "A40B",  "ECMO, Minor Complexity"
"25", "1", "B01A",  "Ventricular Shunt Revision, Major Complexity"
"26", "1", "B01B",  "Ventricular Shunt Revision, Minor Complexity"
"27", "1", "B02A",  "Cranial Procedures, Major Complexity"
"28", "1", "B02B",  "Cranial Procedures, Intermediate Complexity"
"29", "1", "B02C",  "Cranial Procedures, Minor Complexity"
"30", "1", "B03A",  "Spinal Procedures, Major Complexity"
"31", "1", "B03B",  "Spinal Procedures, Intermediate Complexity"
"32", "1", "B03C",  "Spinal Procedures, Minor Complexity"
"33", "1", "B04A",  "Extracranial Vascular Procedures, Major Complexity"
"34", "1", "B04B",  "Extracranial Vascular Procedures, Intermediate Complexity"
"35", "1", "B04C",  "Extracranial Vascular Procedures, Minor Complexity"
"36", "1", "B05Z",  "Carpal Tunnel Release"
"37", "1", "B06A",  "Procedures for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Major Comp"
"38", "1", "B06B",  "Procedures for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Interm Comp"
"39", "1", "B06C",  "Procedures for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Minor Comp"
"40", "1", "B07A",  "Cranial or Peripheral Nerve and Other Nervous System Procedures, Major Comp"
"41", "1", "B07B",  "Cranial or Peripheral Nerve and Other Nervous System Procedures, Minor Comp"
"42", "1", "B40Z",  "Plasmapheresis W Neurological Disease, Sameday"
"43", "1", "B41Z",  "Telemetric EEG Monitoring"
"44", "1", "B42A",  "Nervous System Disorders W Ventilator Support, Major Complexity"
"45", "1", "B42B",  "Nervous System Disorders W Ventilator Support, Minor Complexity"
"46", "1", "B60A",  "Acute Paraplegia and Quadriplegia W or W/O OR Procedures, Major Complexity"
"47", "1", "B60B",  "Acute Paraplegia and Quadriplegia W or W/O OR Procedures, Minor Complexity"
"48", "1", "B61A",  "Spinal Cord Conditions W or W/O OR Procedures, Major Complexity"
"49", "1", "B61B",  "Spinal Cord Conditions W or W/O OR Procedures, Minor Complexity"
"50", "1", "B62Z",  "Apheresis"
"51", "1", "B63A",  "Dementia and Other Chronic Disturbances of Cerebral Function, Major Complexity"
